cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/punct	0.80650914	5.0	0.77565306	12	142029
"""/punct"	0.5847127	138.0	0.4981357	315	4844510
&/name			-0.7388816	1	52896
'/punct	-0.10663985	39.0	-0.2619479	83	2720890
'98/noun			2.2577417	1	2605
's/adv	1.0955205	3.0	1.7232155	14	62265
(/punct	-0.89114344	18.0	-0.9888301	40	2759129
)/punct	-0.8697389	18.0	-0.97953045	40	2758869
*/tag	-0.6090155	1.0	-0.08397271	4	117193
,/punct	0.098288536	322.0	0.03195688	750	18092245
--/punct	-0.19627999	1.0	-1.0760651	1	75440
-/name			-0.3617983	1	36107
-/punct	0.0022670082	17.0	-0.24035954	33	1059446
..../punct			1.422052	1	6065
.../punct	0.5996431	3.0	0.20340183	5	103573
../punct			1.5586758	1	5416
./punct	0.44024247	695.0	0.22684482	1399	28225482
//punct			-0.56364894	1	45910
1-Roda/name	11.166794	1.0	10.546315	1	1
1./num	0.28448892	1.0	0.9797093	5	46650
1/num	-0.63969636	1.0	-0.8512861	2	118827
10.000/num			0.6194451	1	13558
105/num			2.0370297	1	3270
11/noun	0.5254692	1.0	-0.37918636	1	36830
12-10_thriller/noun			10.115532	1	1
14-jarige/adj	3.6370807	1.0	2.7330031	1	1660
14.30/noun			1.3249508	1	6653
14/10/num			4.746523	1	218
14/noun			0.012662921	1	24865
15/num	-0.07032163	1.0	-0.978026	1	66844
150/num	1.0263444	1.0	0.11988233	1	22300
1500/num			1.3988405	1	6208
18-jarige/adj			1.8062736	1	4170
18.30/num			3.031557	1	1247
180/num			2.0361927	2	6553
1814/noun			4.9767966	1	172
1945/noun			1.6373498	1	4856
1947/noun			2.172619	1	2850
1974/noun	2.4387379	1.0	1.5283277	1	5419
1976/noun			1.4721026	1	5791
1987/noun			1.2143834	1	7416
1995/noun	0.83914566	1.0	1.026038	3	26842
1997/noun			-0.37618524	1	36388
1998/noun			-0.7189645	1	51305
1999/noun	0.10201661	1.0	-0.8073624	1	56174
2./num	1.4104207	3.0	0.49371013	3	45325
2/num	0.107573576	2.0	-0.39540693	3	111933
2000/noun			-0.9170696	1	62906
2001/noun	0.12129479	1.0	-0.09206146	2	55236
2004/noun			-0.041667175	1	26354
20th/UNKNOWN			8.506094	1	5
21.00-23.05u./noun	9.646968	1.0	8.729238	1	4
22-jarige/adj			1.6581631	1	4822
22.20-23.10u./noun	7.1465573	1.0	6.2506003	1	50
220/num			2.0855293	1	3114
27,-/num			8.506094	1	5
3-BRUGGE/name	10.473647	1.0	9.645528	1	2
3./num	0.3865319	1.0	0.56902534	3	42072
3/num	-0.43810245	1.0	-1.3473889	1	96814
30/num			-0.83180106	1	57761
3100/num			5.005655	1	169
350/num			1.1782149	1	7766
36,35/num			7.1923704	1	19
36/num			0.3431416	1	17865
364/num			4.4511833	1	295
39/num			0.6743775	1	12844
3de/num			1.8094056	1	4210
4,2/num			2.5796747	1	1904
4/name			0.3041213	1	18612
40/name			2.5880609	1	1886
40/num	0.4204776	1.0	0.20620024	2	40859
400/num			0.46437863	1	15791
46/num			0.36367863	1	17422
4600/num			5.166772	1	144
50/num			-0.6652186	1	48857
52Vandenbroucke/name	10.340116	1.0	9.500346	1	2
54/num			0.90911925	1	10153
55/num			0.34733158	1	17736
572.669/num			10.115532	1	1
5756/name			10.115532	1	1
58/num			0.86304724	1	10607
6.42/num	8.635367	1.0	7.7221923	1	11
6.43/noun	9.241503	1.0	8.323772	1	6
6.44/num	8.35053	1.0	7.437941	1	15
6.46/name	9.646968	1.0	8.729238	1	4
6.48/num	8.730678	1.0	7.812947	1	10
