cw_id	cw	deprel	distance	head	id	lemma	path	pos	position	rep_path	same_sentence	side	steps	target_lemma	token_id	word
huldig/verb/algemeen_dagblad_19990424_154/64/L0	kan/verb	cnj	1	15	26	kan	kan->vc:#T	verb	L0	Cw->vc:#T	True	L	1	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	kunt
huldig/verb/algemeen_dagblad_19990424_154/64/L1	Coolsingel/name	obj1	2	23	25	Coolsingel	#T->obj1:held->mod:op->obj1:Coolsingel	name	L1	#T->obj1:held->mod:op->obj1:Cw	True	L	3	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	Coolsingel
huldig/verb/algemeen_dagblad_19990424_154/64/L10	je/pron	su	11	26	16	je	kan->[vc:#T,su:je]	pron	L10	kan->[vc:#T,su:Cw]	True	L	2	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	je
huldig/verb/algemeen_dagblad_19990424_154/64/L11	en/vg	body	12	9	15	en	en->cnj:kan->vc:#T	vg	L11	Cw->cnj:kan->vc:#T	True	L	2	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	en
huldig/verb/algemeen_dagblad_19990424_154/64/L12	ben/verb	cnj	13	15	14	ben	en->cnj:kan->[vc:#T,cnj:ben]	verb	L12	en->cnj:kan->[vc:#T,cnj:Cw]	True	L	3	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	is
huldig/verb/algemeen_dagblad_19990424_154/64/L13	zover/adv	mod	14	14	13	zover	en->cnj:kan->[vc:#T,cnj:ben->mod:zover]	adv	L13	en->cnj:kan->[vc:#T,cnj:ben->mod:Cw]	True	L	4	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	zover
huldig/verb/algemeen_dagblad_19990424_154/64/L14	eens/adv	mod	15	14	12	eens	en->cnj:kan->[vc:#T,cnj:ben->mod:eens]	adv	L14	en->cnj:kan->[vc:#T,cnj:ben->mod:Cw]	True	L	4	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	eens
huldig/verb/algemeen_dagblad_19990424_154/64/L15	weer/adv	mod	16	14	11	weer	en->cnj:kan->[vc:#T,cnj:ben->mod:weer]	adv	L15	en->cnj:kan->[vc:#T,cnj:ben->mod:Cw]	True	L	4	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	weer
huldig/verb/algemeen_dagblad_19990424_154/64/L2	de/det	det	3	25	24	de	#T->obj1:held->mod:op->obj1:Coolsingel->det:de	det	L2	#T->obj1:held->mod:op->obj1:Coolsingel->det:Cw	True	L	4	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	de
huldig/verb/algemeen_dagblad_19990424_154/64/L3	op/prep	mod	4	22	23	op	#T->obj1:held->mod:op	prep	L3	#T->obj1:held->mod:Cw	True	L	2	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	op
huldig/verb/algemeen_dagblad_19990424_154/64/L4	held/noun	obj1	5	27	22	held	#T->obj1:held	noun	L4	#T->obj1:Cw	True	L	1	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	helden
huldig/verb/algemeen_dagblad_19990424_154/64/L5	je/det	det	6	22	21	je	#T->obj1:held->det:je	det	L5	#T->obj1:held->det:Cw	True	L	2	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	je
huldig/verb/algemeen_dagblad_19990424_154/64/L6	mede_supporter/noun	obj1	7	17	20	mede_supporter	#T->mod:met->obj1:mede_supporter	noun	L6	#T->mod:met->obj1:Cw	True	L	2	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	mede-supporters
huldig/verb/algemeen_dagblad_19990424_154/64/L7	150.000/num	det	8	20	19	150.000	#T->mod:met->obj1:mede_supporter->det:150.000	num	L7	#T->mod:met->obj1:mede_supporter->det:Cw	True	L	3	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	150.000
huldig/verb/algemeen_dagblad_19990424_154/64/L8	zo'n/det	mod	9	19	18	zo'n	#T->mod:met->obj1:mede_supporter->det:150.000->mod:zo'n	det	L8	#T->mod:met->obj1:mede_supporter->det:150.000->mod:Cw	True	L	4	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	zo'n
huldig/verb/algemeen_dagblad_19990424_154/64/L9	met/prep	mod	10	27	17	met	#T->mod:met	prep	L9	#T->mod:Cw	True	L	1	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	met
huldig/verb/algemeen_dagblad_19990424_154/64/R0	./punct	punct	1	27	28	.	#T->punct:.	punct	R0	#T->punct:Cw	True	R	1	huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	.
huldig/verb/algemeen_dagblad_19990424_154/64/R1		</sentence>	2	</sentence>	</sentence>	</sentence>		</sentence>	R1		False	R		huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	</sentence>
huldig/verb/algemeen_dagblad_19990424_154/64/R10	mag/verb	cnj	11	7	8	mag		verb	R10		False	R		huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	mogen
huldig/verb/algemeen_dagblad_19990424_154/64/R11	alle/det	det	12	10	9	alle		det	R11		False	R		huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	alle
huldig/verb/algemeen_dagblad_19990424_154/64/R12	rem/noun	su	13	8	10	rem		noun	R12		False	R		huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	remmen
huldig/verb/algemeen_dagblad_19990424_154/64/R13	los/adj	mod	14	8	11	los		adj	R13		False	R		huldigen	huldig/verb/algemeen_dagblad_19990424_154/64	los
