cw_id	cw	deprel	distance	head	id	lemma	path	pos	position	rep_path	same_sentence	side	steps	target_lemma	token_id	word
haak/verb/algemeen_dagblad_19991113_122/486/L0	blijf/verb	cnj	1	11	22	blijf	blijf->vc:#T	verb	L0	Cw->vc:#T	True	L	1	haken	haak/verb/algemeen_dagblad_19991113_122/486	blijft
haak/verb/algemeen_dagblad_19991113_122/486/L1	toe/adv	mwp	2	19	21	toe	#T->mod:af->mwp:toe	adv	L1	#T->mod:af->mwp:Cw	True	L	2	haken	haak/verb/algemeen_dagblad_19991113_122/486	toe
haak/verb/algemeen_dagblad_19991113_122/486/L10	toch/adv	mod	11	23	12	toch	#T->mod:toch	adv	L10	#T->mod:Cw	True	L	1	haken	haak/verb/algemeen_dagblad_19991113_122/486	toch
haak/verb/algemeen_dagblad_19991113_122/486/L11	maar/vg	body	12	4	11	maar	maar->cnj:blijf->vc:#T	vg	L11	Cw->cnj:blijf->vc:#T	True	L	2	haken	haak/verb/algemeen_dagblad_19991113_122/486	maar
haak/verb/algemeen_dagblad_19991113_122/486/L12	,/punct	punct	13	9	10	,	maar->cnj:blijf->[vc:#T,cnj:voel_aan->punct:,]	punct	L12	maar->cnj:blijf->[vc:#T,cnj:voel_aan->punct:Cw]	True	L	4	haken	haak/verb/algemeen_dagblad_19991113_122/486	,
haak/verb/algemeen_dagblad_19991113_122/486/L13	voel_aan/verb	cnj	14	11	9	voel_aan	maar->cnj:blijf->[vc:#T,cnj:voel_aan]	verb	L13	maar->cnj:blijf->[vc:#T,cnj:Cw]	True	L	3	haken	haak/verb/algemeen_dagblad_19991113_122/486	aanvoelt
haak/verb/algemeen_dagblad_19991113_122/486/L14	solide/adj	predc	15	9	8	solide	maar->cnj:blijf->[vc:#T,cnj:voel_aan->predc:solide]	adj	L14	maar->cnj:blijf->[vc:#T,cnj:voel_aan->predc:Cw]	True	L	4	haken	haak/verb/algemeen_dagblad_19991113_122/486	solide
haak/verb/algemeen_dagblad_19991113_122/486/L15	zeer/adv	mod	16	8	7	zeer	maar->cnj:blijf->[vc:#T,cnj:voel_aan->predc:solide->mod:zeer]	adv	L15	maar->cnj:blijf->[vc:#T,cnj:voel_aan->predc:solide->mod:Cw]	True	L	5	haken	haak/verb/algemeen_dagblad_19991113_122/486	zeer
haak/verb/algemeen_dagblad_19991113_122/486/L2	en/adv	mwp	3	19	20	en	#T->mod:af->mwp:en	adv	L2	#T->mod:af->mwp:Cw	True	L	2	haken	haak/verb/algemeen_dagblad_19991113_122/486	en
haak/verb/algemeen_dagblad_19991113_122/486/L3	af/adv	mod	4	23	19	af	#T->mod:af	adv	L3	#T->mod:Cw	True	L	1	haken	haak/verb/algemeen_dagblad_19991113_122/486	af
