cw_id	cw	deprel	distance	head	id	lemma	path	pos	position	rep_path	same_sentence	side	steps	target_lemma	token_id	word
grijs/adj/algemeen_dagblad_19990107_176/577/L0	in/prep	mod	1	10	11	in	in->obj1:kaft_papier->mod:#T	prep	L0	Cw->obj1:kaft_papier->mod:#T	True	L	2	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	in
grijs/adj/algemeen_dagblad_19990107_176/577/L1	boek/noun	obj1	2	9	10	boek	boek->mod:in->obj1:kaft_papier->mod:#T	noun	L1	Cw->mod:in->obj1:kaft_papier->mod:#T	True	L	3	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	boeken
grijs/adj/algemeen_dagblad_19990107_176/577/L10	ze/pron	su	11	2	1	ze	ga->mod:met->obj1:kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->[mod:#T,su:ze]	pron	L10	ga->mod:met->obj1:kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->[mod:#T,su:Cw]	True	L	8	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	Ze
grijs/adj/algemeen_dagblad_19990107_176/577/L11		<sentence>	12	<sentence>	<sentence>	<sentence>		<sentence>	L11		False	L		grijs	grijs/adj/algemeen_dagblad_19990107_176/577	<sentence>
grijs/adj/algemeen_dagblad_19990107_176/577/L12		</sentence>	13	</sentence>	</sentence>	</sentence>		</sentence>	L12		False	L		grijs	grijs/adj/algemeen_dagblad_19990107_176/577	</sentence>
grijs/adj/algemeen_dagblad_19990107_176/577/L13	./punct	punct	14	9	10	.		punct	L13		False	L		grijs	grijs/adj/algemeen_dagblad_19990107_176/577	.
grijs/adj/algemeen_dagblad_19990107_176/577/L14	Crommelin/name	mwp	15	7	9	Crommelin		name	L14		False	L		grijs	grijs/adj/algemeen_dagblad_19990107_176/577	Crommelin
grijs/adj/algemeen_dagblad_19990107_176/577/L15	Marie/name	mwp	16	7	8	Marie		name	L15		False	L		grijs	grijs/adj/algemeen_dagblad_19990107_176/577	Marie
grijs/adj/algemeen_dagblad_19990107_176/577/L2	vol/prep	mod	3	8	9	vol	vol->obj1:boek->mod:in->obj1:kaft_papier->mod:#T	prep	L2	Cw->obj1:boek->mod:in->obj1:kaft_papier->mod:#T	True	L	4	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	vol
grijs/adj/algemeen_dagblad_19990107_176/577/L3	kast/noun	obj1	4	7	8	kast	kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->mod:#T	noun	L3	Cw->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->mod:#T	True	L	5	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	kasten
grijs/adj/algemeen_dagblad_19990107_176/577/L4	met/prep	mod	5	2	7	met	met->obj1:kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->mod:#T	prep	L4	Cw->obj1:kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->mod:#T	True	L	6	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	met
grijs/adj/algemeen_dagblad_19990107_176/577/L5	kamer/noun	obj1	6	4	6	kamer	ga->mod:met->obj1:kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->[mod:#T,ld:naar->obj1:kamer]	noun	L5	ga->mod:met->obj1:kast->mod:vol->obj1:boek->mod:in->obj1:kaft_papier->[mod:#T,ld:naar->obj1:Cw]	True	L	9	grijs	grijs/adj/algemeen_dagblad_19990107_176/577	kamer
