cw_id	cw	deprel	distance	head	id	lemma	path	pos	position	rep_path	same_sentence	side	steps	target_lemma	token_id	word
spot/noun/algemeen_dagblad_19990417_36/148/L0	groot/adj	mod	1	4	3	groot	#T->mod:groot	adj	L0	#T->mod:Cw	True	L	1	spot	spot/noun/algemeen_dagblad_19990417_36/148	grote
spot/noun/algemeen_dagblad_19990417_36/148/L1	word/verb	cnj	2	9	2	word	word->vc:richt->obj1:#T	verb	L1	Cw->vc:richt->obj1:#T	True	L	2	spot	spot/noun/algemeen_dagblad_19990417_36/148	worden
spot/noun/algemeen_dagblad_19990417_36/148/L10	van/prep	mod	11	4	5	van		prep	L10		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	van
spot/noun/algemeen_dagblad_19990417_36/148/L11	deel/verb	obj1	12	3	4	deel		verb	L11		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	delen
spot/noun/algemeen_dagblad_19990417_36/148/L12	richt_in/verb	ROOT	13	0	3	richt_in		verb	L12		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	richt
spot/noun/algemeen_dagblad_19990417_36/148/L13	gemeente/noun	su	14	3	2	gemeente		noun	L13		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	gemeente
spot/noun/algemeen_dagblad_19990417_36/148/L14	de/det	det	15	2	1	de		det	L14		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	De
spot/noun/algemeen_dagblad_19990417_36/148/L15		<sentence>	16	<sentence>	<sentence>	<sentence>		<sentence>	L15		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	<sentence>
spot/noun/algemeen_dagblad_19990417_36/148/L2	er/adv	mod	3	8	1	er	richt->[obj1:#T,mod:er]	adv	L2	richt->[obj1:#T,mod:Cw]	True	L	2	spot	spot/noun/algemeen_dagblad_19990417_36/148	Er
spot/noun/algemeen_dagblad_19990417_36/148/L3		<sentence>	4	<sentence>	<sentence>	<sentence>		<sentence>	L3		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	<sentence>
spot/noun/algemeen_dagblad_19990417_36/148/L4		</sentence>	5	</sentence>	</sentence>	</sentence>		</sentence>	L4		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	</sentence>
spot/noun/algemeen_dagblad_19990417_36/148/L5	./punct	punct	6	9	10	.		punct	L5		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	.
spot/noun/algemeen_dagblad_19990417_36/148/L6	in/part	svp	7	3	9	in		part	L6		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	in
spot/noun/algemeen_dagblad_19990417_36/148/L7	opnieuw/adv	mod	8	3	8	opnieuw		adv	L7		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	opnieuw
spot/noun/algemeen_dagblad_19990417_36/148/L8	omgeving/noun	obj1	9	5	7	omgeving		noun	L8		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	omgeving
spot/noun/algemeen_dagblad_19990417_36/148/L9	de/det	det	10	7	6	de		det	L9		False	L		spot	spot/noun/algemeen_dagblad_19990417_36/148	de
spot/noun/algemeen_dagblad_19990417_36/148/R0	op/prep	pc	1	8	5	op	richt->[obj1:#T,pc:op]	prep	R0	richt->[obj1:#T,pc:Cw]	True	R	2	spot	spot/noun/algemeen_dagblad_19990417_36/148	op
spot/noun/algemeen_dagblad_19990417_36/148/R1	het/det	det	2	7	6	het	richt->[obj1:#T,pc:op->obj1:water->det:het]	det	R1	richt->[obj1:#T,pc:op->obj1:water->det:Cw]	True	R	4	spot	spot/noun/algemeen_dagblad_19990417_36/148	het
spot/noun/algemeen_dagblad_19990417_36/148/R10		<sentence>	11	<sentence>	<sentence>	<sentence>		<sentence>	R10		False	R		spot	spot/noun/algemeen_dagblad_19990417_36/148	<sentence>
spot/noun/algemeen_dagblad_19990417_36/148/R11	een/det	det	12	2	1	een		det	R11		False	R		spot	spot/noun/algemeen_dagblad_19990417_36/148	Een
spot/noun/algemeen_dagblad_19990417_36/148/R12	communicatie_bureau/noun	su	13	3	2	communicatie_bureau		noun	R12		False	R		spot	spot/noun/algemeen_dagblad_19990417_36/148	communicatiebureau
