cw_id	cw	deprel	distance	head	id	lemma	path	pos	position	rep_path	same_sentence	side	steps	target_lemma	token_id	word
geldig/adj/algemeen_dagblad_19990426_41/547/L0	blijf/adj	mod	1	21	19	blijf	principe_besluit->[mod:#T,mod:blijf]	adj	L0	principe_besluit->[mod:#T,mod:Cw]	True	L	2	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	blijvend
geldig/adj/algemeen_dagblad_19990426_41/547/L1	een/det	det	2	21	18	een	principe_besluit->[mod:#T,det:een]	det	L1	principe_besluit->[mod:#T,det:Cw]	True	L	2	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	een
geldig/adj/algemeen_dagblad_19990426_41/547/L10	middel/verb	obj1	11	11	9	middel	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->vc:of->body:stel->obj1:middel]	verb	L10	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->vc:of->body:stel->obj1:Cw]	True	L	7	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	middelen
geldig/adj/algemeen_dagblad_19990426_41/547/L11	het/det	su	12	11	8	het	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->vc:of->body:stel->su:het]	det	L11	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->vc:of->body:stel->su:Cw]	True	L	7	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	het
geldig/adj/algemeen_dagblad_19990426_41/547/L12	of/comp	vc	13	6	7	of	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->vc:of]	comp	L12	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->vc:Cw]	True	L	5	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	of
geldig/adj/algemeen_dagblad_19990426_41/547/L13	bezie/verb	vc	14	2	6	bezie	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie]	verb	L13	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:Cw]	True	L	4	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	bezien
geldig/adj/algemeen_dagblad_19990426_41/547/L14	operatie/noun	obj1	15	4	5	operatie	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->mod:per->obj1:operatie]	noun	L14	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->mod:per->obj1:Cw]	True	L	6	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	operatie
geldig/adj/algemeen_dagblad_19990426_41/547/L15	per/prep	mod	16	6	4	per	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->mod:per]	prep	L15	wil->dp:wil->obj1:principe_besluit->[mod:#T,vc:bezie->mod:Cw]	True	L	5	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	per
geldig/adj/algemeen_dagblad_19990426_41/547/L2	daarover/pp	mod	3	16	17	daarover	wil->obj1:principe_besluit->[mod:#T,mod:daarover]	pp	L2	wil->obj1:principe_besluit->[mod:#T,mod:Cw]	True	L	3	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	daarover
geldig/adj/algemeen_dagblad_19990426_41/547/L3	wil/verb	dp	4	2	16	wil	wil->obj1:principe_besluit->mod:#T	verb	L3	Cw->obj1:principe_besluit->mod:#T	True	L	2	geldig	geldig/adj/algemeen_dagblad_19990426_41/547	willen
